user,date,post
JennJ323,"April 2, 2019 3:12PM","Breakfast:
2 turkey sausage links and a hard boiled egg
Lunch:
pineapple chicken and brown rice
Afternoon snack:
and fresh pineapple
Dinner:
apple cinnamon roll breakfast casserole, bacon and strawberry & pineapple fruit salad"
lalee115,"April 2, 2019 3:16PM","JennJ323
wrote:
»
Breakfast:
2 turkey sausage links and a hard boiled egg
Lunch:
pineapple chicken and brown rice
Afternoon snack:
and fresh pineapple
Dinner:
apple cinnamon roll breakfast casserole, bacon and strawberry & pineapple fruit salad
Please enlighten me on this apple cinnamon roll breakfast casserole!"
my3sons527,"April 2, 2019 11:17PM","B: Jimmy Dean Delight, raspberries
L: huge grilled chicken salad
S: sugar free jello
grilled chicken parmesan"
JennJ323,"April 4, 2019 7:07PM","lalee115
wrote:
»
JennJ323
wrote:
»
Breakfast:
2 turkey sausage links and a hard boiled egg
Lunch:
pineapple chicken and brown rice
Afternoon snack:
and fresh pineapple
Dinner:
apple cinnamon roll breakfast casserole, bacon and strawberry & pineapple fruit salad
Please enlighten me on this apple cinnamon roll breakfast casserole!
https://www.thepinningmama.com/apple-breakfast-casserole/
It was very good, but I overcooked it. I cut the recipe in half, but not the cooking time. I would make it again, but cut the time down too"
seltzermint555,"April 4, 2019 7:50PM","Breakfast: 3 oz blackberries, 1/2 avocado on wheat toast, coffee
Lunch: tuna salad over lettuce with pecans & green onion, 1/2 small baked potato with butter, and a smoothie made with unsweetened almond milk, fresh pineapple, 1 banana, hemp protein, and 1/2 navel orange
Dinner: pineapple fried rice with raisins & green onion and tons of veggies"
Angiepup,"April 4, 2019 11:34PM","Breakfast: 1/4 c superfood granola, 0.33 serving Lily dark chocolate with almonds, 2 metrex cookie bites
Lunch/Dinner since I work overnights: Turkey meat sauce over zoodles, sf Chai with almond/cashew milk
Snack1 (before work): sf chatila pumpkin ""donut"", 1 meterx cookie bite, 0.33 package cheddar whisps and nibble of Korean bbq jerky, thin slim muffin
Snack 2 in a couple of hours: no cow protein bar, 1 clementine
Trying to take off 5-10 lbs..."
JeromeBarry1,"April 4, 2019 11:48PM","Breakfast: 1 cup of coffee with 10 g MCT powder.
1 cup of coffee with 15 g heavy cream
48 g pork jowl bacon
5 g quinoa
5 g chia
4 g nopalina
29 g spinach
146 g whole egg (3 large)
10 g tabasco sauce
1 oz cottage cheese
1 oz Mexican white cheese.
Snack
1 oz mixed nuts
2 sugar-free coffee-flavored caramels.
Dinner:
2 big sausages
85 g broccoli slaw
15 g bleu cheese dressing.
I've not done any exercise today. I've got room in my calorie budget for 2 more of the sugar-free caramels. That will leave me a few grams short on protein.
Because my Rangers are on the west coast tonight, I might decide to do some cardio while watching, giving me more room for more protein. Maybe not. I'm at 5% carbs so far."
JessAndreia,"April 5, 2019 12:22AM","Vegan cheese and ham sandwich
Two hashbrowns. Quinoa salad with chickpeas, cherry tomatoes, cucumber, and cashew cheese
Coffee cinnamon muffin
Beyond sausage from A&W. Banana.
Rice with red beans and cabbage."
my3sons527,"April 5, 2019 2:17AM","B: not hungry
L: Popeyes blackened chicken tenders, green beans and mashed potatoes with gravy
S: Halo
hamburger, fries, 2 chocolate chip cookies"
Sanriohippie,"April 5, 2019 9:20PM","Breakfast- egg white scramble with soy chorizo
Lunch- Breakfast veggie tacos/half a potato
Dinner- Veggie puff pastry pizza"
seltzermint555,"April 6, 2019 3:25AM","Breakfast: oatmeal with peanut butter & raspberry jam, coffee
Lunch: large baked potato with seasoned TVP, sauteed onions & red peppers, broccoli & sour cream
Dinner: pan-seared tofu with BBQ sauce, homemade pasta salad with onion, black olives, kale & argula
Later: 3 cotton candy flavored Peeps and 1/4 of a Burger King chicken sandwich."
JennJ323,"April 8, 2019 7:21PM","Breakfast:
toasted coconut vanilla Greek yogurt
Lunch:
homemade white chicken chili and a small side salad of spring mix and balsamic vinaigrette
Afternoon snack:
Fiber Now! cinnamon coffee cake soft baked bar and grapes
Dinner:
chicken Alfredo and broccoli bubble up bake - less than 300c per serving, I hope it's good! here's the recipe if you want it
https://emilybites.com/2017/09/bubble-up-chicken-alfredo-bake.html
After dinner snack:
Neapolitan ice cream"
rainingribbons,"April 8, 2019 11:41PM","Breakfast: Coffee with creamer, homemade breakfast sammich
Lunch: pulled pork sammich with roasted broccoli
Snack: 2 cutie halos
Dinner: Shrimp and feta tomato bake over parmesan couscous, 1 Sopporo"
soliver1999,"April 9, 2019 12:01AM","BREAKFAST-
8oz bottle of water
10 oz cup of Coffee
1/8 cup cream
4 splendas.
3 pieces of bacon
2 eggs with cheese and milk to make fluffy.
Snack -
Whisps or moon cheese
8 oz bottle of water
Lunch- (sometimes)
8oz bottle of water
Grilled chicken nuggets from chick fil a and a cob salad from them with grilled nuggets already on it. (Yes 2 portions of chicken)
1 packet of ranch salad dressing
Dinner -
8oz bottle water
4 oz Grilled steak or chicken
1/4 Avocado
1 tbsp Sour cream
1 tsp Salasa
1/4 cup Shredded Mexican cheese
Heat and Mix together
Snack
Glass of milk 4oz
Fatsnax cookie (peanut butter)
Right before bed
8oz bottle water"
seltzermint555,"April 9, 2019 2:08PM","Breakfast: coffee and an acai bowl with strawberries, bananas, coconut flakes, granola & blueberries
Lunch: spinach quesadilla with onions & peppers, topped with salsa & sour cream
Dinner: chickpea & veggie curry over brown rice"
seltzermint555,"April 9, 2019 2:08PM","soliver1999
wrote:
»
BREAKFAST-
8oz bottle of water
10 oz cup of Coffee
1/8 cup cream
4 splendas.
3 pieces of bacon
2 eggs with cheese and milk to make fluffy.
Snack -
Whisps or moon cheese
8 oz bottle of water
Lunch- (sometimes)
8oz bottle of water
Grilled chicken nuggets from chick fil a and a cob salad from them with grilled nuggets already on it. (Yes 2 portions of chicken)
1 packet of ranch salad dressing
Dinner -
8oz bottle water
4 oz Grilled steak or chicken
1/4 Avocado
1 tbsp Sour cream
1 tsp Salasa
1/4 cup Shredded Mexican cheese
Heat and Mix together
Snack
Glass of milk 4oz
Fatsnax cookie (peanut butter)
Right before bed
8oz bottle water
Dang I bet that Chick-Fil-A order was pricey. I got grilled nuggets and a fruit bowl there a few years ago and had major sticker shock! I have not returned."
rainingribbons,"April 15, 2019 9:30PM","Breakfast: Coffee with creamer, mocha chocolate chip protein bar
Lunch: Leftover shrimp in dill sauce mixed with rice from going out to a German restaurant last night
Snack: 2 small Halo cuties
Dinner: Lemon chicken and rice with a side of baked Parmesan zucchini
Dessert: Either oreos or ice cream, haven't decided yet!"
seltzermint555,"May 3, 2019 12:42AM","Breakfast: oatmeal with peanut butter & blueberry lemon jam, coffee
Lunch: small hoagie roll with mayo, mustard, pickle, onion & Morningstar Griller patty, 3 dolmas, 1/2 pear
Dinner: refried beans with green chiles, sliced red pepper, cheese & sour cream. Shredded lettuce and 1 homemade tortilla on the side. Diet root beer.
Dessert: English toffee ice cream bar"
PAPYRUS3,"May 3, 2019 1:34AM","LJKN1GHT
wrote:
»
Just discovered dried figs, they go great with black coffee. Normally eat dates with coffee but the shop had run out so thought I would try figs instead..Boom taste sensation 😁
I love that cafe already! I would love eating figs and(
) dates with my coffee...brilliancy (three of my favorite things...) What cafe is this?"
ashleyohsnap,"May 3, 2019 1:58AM",Burnt my sweet potato fries in the air fryer (got distracted 😭) BUT it saved me enough calories to eat my little tub of chilly cow! WIN!
